Year MO DY HR MN BOUH
2013 04 02 12 42 20819.15
2013 04 02 12 43 20819.12
2013 04 02 12 44 20819.17
2013 04 02 12 45 20819.33
2013 04 02 12 46 20819.22
2013 04 02 12 47 20819.27
2013 04 02 12 48 20819.05
2013 04 02 12 49 20819.12
2013 04 02 12 50 20819.05
2013 04 02 12 51 20818.93
2013 04 02 12 52 20818.79
2013 04 02 12 53 20818.95
2013 04 02 12 54 20819.07
2013 04 02 12 55 20819.15
2013 04 02 12 56 20819.33
2013 04 02 12 57 20819.35
2013 04 02 12 58 20819.31
2013 04 02 12 59 20819.23
2013 04 02 13 00 20819.17
2013 04 02 13 01 20819.10
2013 04 02 13 02 20819.03
2013 04 02 13 03 20819.09
2013 04 02 13 04 20818.95
2013 04 02 13 05 20819.03
2013 04 02 13 06 20819.06
2013 04 02 13 07 20819.11
2013 04 02 13 08 20819.06
2013 04 02 13 09 20819.01
2013 04 02 13 10 20818.87
2013 04 02 13 11 20818.88
2013 04 02 13 12 20818.82
2013 04 02 13 13 20818.84
2013 04 02 13 14 20818.79
2013 04 02 13 15 20818.72
2013 04 02 13 16 20818.63
2013 04 02 13 17 20818.58
2013 04 02 13 18 20818.49
2013 04 02 13 19 20818.45
2013 04 02 13 20 20818.41
2013 04 02 13 21 20818.39
2013 04 02 13 22 20818.37
2013 04 02 13 23 20818.31
2013 04 02 13 24 20818.28
2013 04 02 13 25 20818.17
2013 04 02 13 26 20818.03
2013 04 02 13 27 20817.89
2013 04 02 13 28 20817.85
2013 04 02 13 29 20817.82
2013 04 02 13 30 20817.72
2013 04 02 13 31 20817.54
2013 04 02 13 32 20817.43
2013 04 02 13 33 20817.37
2013 04 02 13 34 20817.26
2013 04 02 13 35 20817.11
2013 04 02 13 36 20817.01
2013 04 02 13 37 20816.90
2013 04 02 13 38 20816.79
2013 04 02 13 39 20816.66
2013 04 02 13 40 20816.49
2013 04 02 13 41 20816.41
2013 04 02 13 42 20816.15
2013 04 02 13 43 20815.92
2013 04 02 13 44 20815.71
2013 04 02 13 45 20815.57
2013 04 02 13 46 20815.25
2013 04 02 13 47 20815.32
2013 04 02 13 48 20815.18
2013 04 02 13 49 20815.05
2013 04 02 13 50 20814.91
2013 04 02 13 51 20814.88
2013 04 02 13 52 20814.73
2013 04 02 13 53 20814.65
2013 04 02 13 54 20814.51
2013 04 02 13 55 20814.31
2013 04 02 13 56 20814.28
2013 04 02 13 57 20814.18
2013 04 02 13 58 20814.07
2013 04 02 13 59 20814.04
2013 04 02 14 00 20813.92
2013 04 02 14 01 20813.84
2013 04 02 14 02 20813.66
2013 04 02 14 03 20813.53
2013 04 02 14 04 20813.41
2013 04 02 14 05 20813.22
2013 04 02 14 06 20813.04
2013 04 02 14 07 20812.81
2013 04 02 14 08 20812.65
2013 04 02 14 09 20812.45
2013 04 02 14 10 20812.24
2013 04 02 14 11 20811.95
2013 04 02 14 12 20811.89
2013 04 02 14 13 20811.78
2013 04 02 14 14 20811.60
2013 04 02 14 15 20811.51
2013 04 02 14 16 20811.35
2013 04 02 14 17 20811.08
2013 04 02 14 18 20811.11
2013 04 02 14 19 20810.92
2013 04 02 14 20 20810.79
2013 04 02 14 21 20810.70
2013 04 02 14 22 20810.40
2013 04 02 14 23 20810.20
2013 04 02 14 24 20810.29
2013 04 02 14 25 20810.07
2013 04 02 14 26 20810.04
